epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,7083.46,1.05151,1.29048,1.27632,0.3947,0.37181,0.35037,0.26563,1.17428,15.2032,1.20325,0.00483593,0.00483593,0.00483593
86,7169.81,1.03285,1.25307,1.26023,0.4345,0.36476,0.35673,0.2721,1.17142,15.4041,1.19915,0.00481229,0.00481229,0.00481229
87,7256.92,1.02874,1.2562,1.25766,0.40632,0.36925,0.35114,0.26864,1.17177,15.5688,1.19857,0.00478844,0.00478844,0.00478844
88,7345.64,1.03471,1.26142,1.26694,0.41395,0.35987,0.35046,0.26718,1.1725,15.4621,1.19968,0.0047644,0.0047644,0.0047644
89,7440.16,1.03438,1.25278,1.2589,0.41116,0.36901,0.35124,0.2664,1.18034,15.7542,1.20245,0.00474016,0.00474016,0.00474016
90,7533.43,1.03373,1.25067,1.25846,0.40362,0.35655,0.3479,0.2646,1.18012,15.7697,1.20091,0.00471573,0.00471573,0.00471573
91,7626.98,1.02315,1.23951,1.25491,0.38943,0.37872,0.3525,0.26724,1.17739,16.0008,1.19735,0.00469111,0.00469111,0.00469111
92,7718.53,1.03216,1.23683,1.26021,0.43729,0.34635,0.35029,0.26723,1.17407,16.265,1.19628,0.0046663,0.0046663,0.0046663
93,7810.34,1.02835,1.24502,1.25815,0.38006,0.37845,0.35303,0.26827,1.17342,16.3442,1.19487,0.00464131,0.00464131,0.00464131
94,7902.14,1.02617,1.2307,1.25354,0.42568,0.35691,0.3563,0.27203,1.17463,16.2375,1.19617,0.00461613,0.00461613,0.00461613
95,7995.25,1.02812,1.23457,1.25691,0.43746,0.3514,0.35722,0.27127,1.1706,16.0956,1.19484,0.00459077,0.00459077,0.00459077
96,8087.42,1.00882,1.21898,1.24982,0.38795,0.38027,0.35685,0.27072,1.16783,16.0831,1.19304,0.00456524,0.00456524,0.00456524
97,8178,1.01247,1.22374,1.25035,0.41379,0.37208,0.36082,0.27342,1.16885,16.0919,1.19525,0.00453953,0.00453953,0.00453953
98,8271.38,1.01374,1.2125,1.24529,0.4011,0.37778,0.35304,0.26726,1.1697,16.3021,1.19579,0.00451365,0.00451365,0.00451365
99,8363.87,1.01864,1.2163,1.24985,0.38596,0.38994,0.35419,0.26717,1.16997,16.4824,1.19529,0.0044876,0.0044876,0.0044876
100,8455.82,1.01508,1.22907,1.24788,0.40625,0.37783,0.35367,0.26819,1.1706,16.4749,1.19543,0.00446139,0.00446139,0.00446139
101,8547.78,1.00871,1.20402,1.2426,0.4066,0.37543,0.35851,0.27226,1.16915,16.4565,1.19356,0.00443501,0.00443501,0.00443501
102,8634.93,1.00986,1.19423,1.24066,0.4069,0.37085,0.36008,0.27149,1.16899,16.2225,1.19277,0.00440847,0.00440847,0.00440847
103,8721.87,1.01156,1.20804,1.24745,0.38322,0.38714,0.36005,0.2734,1.16951,16.2421,1.19262,0.00438178,0.00438178,0.00438178
104,8808.96,1.0045,1.19414,1.23835,0.43094,0.3592,0.35622,0.27266,1.17226,16.1156,1.19552,0.00435493,0.00435493,0.00435493
105,8895.74,1.00858,1.18431,1.24137,0.44373,0.3581,0.35795,0.27333,1.16969,16.1647,1.19339,0.00432793,0.00432793,0.00432793
106,8986.02,0.99736,1.17607,1.23736,0.43919,0.36042,0.36036,0.27654,1.16838,16.242,1.19327,0.00430078,0.00430078,0.00430078
107,9078.03,1.00067,1.17606,1.23664,0.43699,0.36253,0.35883,0.276,1.1691,16.3856,1.19447,0.00427349,0.00427349,0.00427349
108,9171.57,1.00099,1.19362,1.2371,0.43615,0.36306,0.35806,0.27492,1.16754,16.5909,1.19337,0.00424605,0.00424605,0.00424605
109,9263.33,0.99269,1.16477,1.22878,0.41968,0.36368,0.35741,0.27438,1.16812,16.6103,1.19476,0.00421848,0.00421848,0.00421848
110,9354.89,1.00634,1.19122,1.24166,0.42517,0.35771,0.35652,0.27482,1.16848,16.5977,1.19453,0.00419077,0.00419077,0.00419077
111,9447.7,1.00041,1.17349,1.2334,0.41808,0.36633,0.35676,0.27372,1.16845,16.5615,1.19423,0.00416292,0.00416292,0.00416292
112,9539.98,0.99597,1.17385,1.23445,0.41666,0.36933,0.35679,0.27396,1.16721,16.452,1.19285,0.00413495,0.00413495,0.00413495
113,9631.21,1.00027,1.17044,1.23541,0.40579,0.3713,0.35677,0.27315,1.16883,16.542,1.19356,0.00410685,0.00410685,0.00410685
114,9722.93,0.99053,1.16473,1.23217,0.40127,0.37585,0.35701,0.27315,1.16875,16.4828,1.19345,0.00407862,0.00407862,0.00407862
115,9810.44,0.98643,1.15372,1.22631,0.39765,0.3724,0.35399,0.27242,1.168,16.5006,1.19259,0.00405028,0.00405028,0.00405028
116,9897.18,1.00051,1.18355,1.23856,0.39351,0.383,0.35597,0.27338,1.16926,16.4772,1.19326,0.00402181,0.00402181,0.00402181
117,9984.42,0.98137,1.1504,1.22659,0.39814,0.37578,0.35621,0.2728,1.16876,16.4359,1.19308,0.00399324,0.00399324,0.00399324
118,10071.3,0.98801,1.15212,1.22941,0.41217,0.36562,0.35742,0.27375,1.16884,16.4405,1.19317,0.00396455,0.00396455,0.00396455
119,10159,0.97914,1.13869,1.22201,0.41308,0.36822,0.35747,0.27399,1.16929,16.5016,1.19426,0.00393575,0.00393575,0.00393575
120,10245.7,0.98505,1.15326,1.22514,0.38859,0.38541,0.35886,0.2744,1.16831,16.5953,1.19349,0.00390684,0.00390684,0.00390684
121,10333,0.97705,1.13443,1.22184,0.39314,0.38462,0.35769,0.27442,1.16805,16.6751,1.19438,0.00387784,0.00387784,0.00387784
